source: wordCount:3, stream: default, id: {}, [a, 6]
source: wordCount:4, stream: default, id: {}, [seen, 1]
source: wordCount:3, stream: default, id: {}, [little, 1]
source: wordCount:3, stream: default, id: {}, [emotion, 1]
source: wordCount:4, stream: default, id: {}, [of, 8]
source: wordCount:3, stream: default, id: {}, [lately, 1]
source: wordCount:4, stream: default, id: {}, [strong, 1]
source: wordCount:3, stream: default, id: {}, [a, 7]
source: wordCount:4, stream: default, id: {}, [holmes, 6]
source: wordCount:3, stream: default, id: {}, [marriage, 1]
source: wordCount:4, stream: default, id: {}, [my, 1]
source: wordCount:3, stream: default, id: {}, [had, 2]
source: wordCount:3, stream: default, id: {}, [of, 16]
source: wordCount:4, stream: default, id: {}, [in, 3]
source: wordCount:3, stream: default, id: {}, [away, 3]
source: wordCount:4, stream: default, id: {}, [drifted, 1]
source: wordCount:3, stream: default, id: {}, [project, 4]
source: wordCount:4, stream: default, id: {}, [start, 2]
source: wordCount:3, stream: default, id: {}, [ebook, 6]
source: wordCount:3, stream: default, id: {}, [each, 1]
source: wordCount:4, stream: default, id: {}, [us, 1]
source: wordCount:3, stream: default, id: {}, [my, 1]
source: wordCount:4, stream: default, id: {}, [this, 5]
source: wordCount:4, stream: default, id: {}, [from, 2]
source: wordCount:3, stream: default, id: {}, [adventures, 5]
source: wordCount:4, stream: default, id: {}, [gutenberg, 6]
source: wordCount:3, stream: default, id: {}, [own, 3]
source: wordCount:4, stream: default, id: {}, [other, 1]
source: wordCount:4, stream: default, id: {}, [the, 21]
source: wordCount:3, stream: default, id: {}, [sherlock, 4]
source: wordCount:4, stream: default, id: {}, [of, 9]
source: wordCount:3, stream: default, id: {}, [happiness, 1]
source: wordCount:4, stream: default, id: {}, [complete, 1]
source: wordCount:3, stream: default, id: {}, [memory, 1]
source: wordCount:4, stream: default, id: {}, [holmes, 7]
source: wordCount:3, stream: default, id: {}, [absorb, 1]
source: wordCount:4, stream: default, id: {}, [and, 6]
source: wordCount:3, stream: default, id: {}, [produced, 2]
source: wordCount:3, stream: default, id: {}, [my, 2]
